TIME,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Estonia,Euro area,EU27,Finland,France,G7,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,Norway,OECD - Total,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,TÃ¼rkiye,United Kingdom,United States
2016-01,6.03,6.5,8.6,7.2,6.3,9.78,9.6,4.3,5.7,6.5,10.4,9.7,9.1,10.3,5.51,4.2,24.8,5.6,3.6,9.1,5.07,11.6,3.2,3.5,10.0,8.1,6.4,4.09,7.4,5.0,6.6,6.8,12.4,10.5,8.4,20.6,7.2,10.2,5.1,4.8
2016-02,5.69,6.5,8.4,7.3,6.5,9.06,9.5,4.2,6.1,6.3,10.4,9.6,9.1,10.4,5.54,4.1,24.2,5.4,3.7,8.9,5.33,11.8,3.3,3.9,9.9,8.0,6.4,4.17,7.5,5.6,6.6,6.7,12.5,10.3,8.3,20.4,7.3,10.1,5.1,4.9
2016-03,5.65,6.2,8.3,7.1,6.63,9.95,9.48,4.0,6.1,6.6,10.3,9.5,9.4,10.2,5.55,4.1,24.2,5.8,3.6,8.8,5.3,11.6,3.2,3.7,9.7,8.1,6.4,4.1,7.4,5.1,6.62,6.6,12.3,10.1,8.3,20.3,7.5,10.2,5.0,5.0
2016-04,5.64,6.1,8.3,7.2,6.8,8.84,9.59,4.0,6.0,6.5,10.3,9.4,8.9,10.1,5.57,4.0,23.9,5.4,3.6,8.9,5.05,11.8,3.2,3.6,9.5,7.9,6.3,3.91,7.4,5.0,6.53,6.4,11.9,9.9,8.1,20.3,6.9,10.1,4.9,5.1
2016-05,5.72,6.9,8.2,7.0,6.75,8.75,9.38,3.9,6.3,6.4,10.2,9.4,8.6,10.0,5.43,4.0,23.9,4.9,3.5,8.8,4.67,11.6,3.2,3.5,9.4,8.3,6.2,4.11,7.2,4.9,6.47,6.4,11.6,9.8,8.0,20.1,7.4,10.3,4.9,4.8
2016-06,5.69,6.8,8.1,6.9,6.91,9.12,9.29,4.2,5.9,6.8,10.1,9.3,9.3,10.0,5.43,4.0,23.6,4.8,3.4,8.7,4.66,11.7,3.1,3.5,9.5,8.1,6.2,3.96,7.1,4.6,6.47,6.4,11.3,9.7,7.8,19.9,6.9,10.7,4.9,4.9
2016-07,5.7,6.5,7.9,7.0,6.78,9.45,9.14,4.2,6.5,7.0,10.0,9.2,9.0,9.8,5.36,3.9,23.7,5.1,3.3,8.5,4.69,11.5,3.0,3.6,9.7,8.1,6.2,3.79,7.0,5.0,6.42,6.3,11.2,9.6,7.5,19.5,7.0,11.1,5.0,4.8
2016-08,5.61,7.0,7.8,7.0,6.82,9.14,9.69,3.7,5.8,7.8,9.9,9.1,8.4,9.9,5.4,3.9,23.9,4.6,3.3,8.3,4.64,11.5,3.1,3.9,9.8,7.9,6.3,3.74,6.8,5.2,6.43,6.3,11.1,9.5,7.5,19.3,7.3,11.1,4.8,4.9
2016-09,5.65,6.5,7.6,7.0,6.63,8.98,9.35,4.0,5.7,7.3,9.9,9.1,8.4,9.9,5.44,3.8,23.3,4.6,3.4,7.9,4.81,11.9,3.0,4.0,9.8,7.7,6.4,3.85,6.7,4.8,6.45,6.1,11.1,9.3,7.6,19.1,6.9,11.6,4.8,5.0
2016-10,5.58,6.2,7.3,7.0,6.65,9.31,9.56,3.8,6.3,7.4,9.8,9.0,9.0,10.1,5.4,3.8,23.7,4.8,3.4,7.7,4.68,11.7,3.0,3.8,9.6,7.6,6.3,3.57,6.6,4.8,6.39,5.9,10.8,9.2,8.0,18.8,7.1,11.5,4.8,4.9
2016-11,5.77,6.3,7.3,6.9,6.68,8.69,9.57,3.6,5.8,6.9,9.9,9.0,9.3,10.1,5.34,3.7,23.8,4.1,3.5,7.5,4.46,12.0,3.0,3.7,9.5,7.6,6.3,3.64,6.6,4.7,6.33,5.7,10.8,9.1,8.2,18.8,7.0,11.6,4.7,4.7
2016-12,5.83,6.2,7.4,7.0,6.75,9.57,9.47,3.6,5.6,6.4,9.7,8.9,8.5,10.0,5.31,3.7,23.8,4.3,3.5,7.5,4.28,11.8,3.0,3.5,9.4,7.6,6.3,3.7,6.4,4.2,6.34,5.5,10.5,8.9,8.1,18.6,7.1,12.1,4.7,4.7
2017-01,5.69,6.0,7.8,6.8,7.05,9.54,9.42,3.4,6.1,6.0,9.6,8.7,8.9,9.7,5.25,3.7,23.6,4.1,3.4,7.4,4.49,11.7,3.0,3.5,9.2,7.8,6.0,3.46,6.4,4.2,6.26,5.3,10.4,8.7,7.7,18.4,7.0,12.0,4.6,4.7
2017-02,5.85,6.1,7.9,6.6,7.03,9.46,9.14,3.3,6.3,5.6,9.5,8.7,9.0,9.6,5.18,3.7,23.1,4.1,3.3,7.3,4.31,11.6,2.9,3.9,9.0,7.8,5.9,3.4,6.3,4.5,6.21,5.2,10.2,8.6,7.3,18.2,7.1,11.9,4.6,4.6
2017-03,5.85,6.2,7.8,6.7,7.09,9.38,9.05,3.3,5.9,5.7,9.5,8.6,8.9,9.6,5.06,3.6,22.6,4.4,3.2,7.1,4.44,11.7,2.8,3.6,8.8,7.6,5.7,3.5,6.2,4.9,6.12,5.1,10.0,8.5,7.0,18.0,6.6,11.9,4.5,4.4
2017-04,5.61,5.6,7.5,6.5,7.08,8.55,8.52,3.3,5.9,6.0,9.3,8.4,9.4,9.5,5.0,3.6,22.1,4.4,3.2,6.8,4.35,11.2,2.8,3.8,8.8,7.5,5.6,3.56,6.1,4.6,6.03,5.2,9.8,8.4,6.7,17.6,7.0,11.6,4.4,4.4
2017-05,5.54,6.1,7.3,6.6,7.03,9.21,8.51,3.0,5.9,6.3,9.2,8.4,8.8,9.6,5.06,3.6,22.1,4.1,3.3,6.6,4.49,11.4,3.0,3.4,8.9,7.2,5.5,3.62,6.1,4.5,6.03,5.2,9.5,8.3,6.6,17.3,6.9,11.1,4.4,4.4
2017-06,5.6,5.8,7.2,6.5,6.86,8.81,8.66,2.9,5.8,6.0,9.1,8.3,8.9,9.5,4.95,3.6,21.4,4.2,3.3,6.6,4.35,11.2,2.8,3.7,8.9,6.9,5.5,3.28,6.0,4.4,5.89,5.1,9.3,8.0,6.6,17.0,6.7,11.0,4.3,4.3
2017-07,5.6,5.9,7.2,6.3,6.62,9.14,9.28,2.9,5.8,5.8,9.1,8.2,8.4,9.6,4.94,3.5,21.2,4.1,3.3,6.7,3.93,11.4,2.8,3.5,8.8,6.8,5.5,3.24,5.9,4.2,5.85,4.9,9.1,7.9,6.5,16.8,7.1,10.6,4.3,4.3
2017-08,5.52,5.8,7.2,6.2,6.78,9.33,9.37,2.7,6.0,5.5,9.0,8.1,8.3,9.5,4.96,3.5,21.1,4.0,3.3,6.6,4.09,11.3,2.8,4.0,8.7,6.7,5.5,3.28,5.7,4.4,5.87,4.9,8.9,7.8,6.5,16.7,6.6,10.5,4.3,4.4
2017-09,5.45,6.1,6.9,6.2,6.94,9.62,10.22,2.7,6.0,5.8,8.9,8.1,9.0,9.3,4.87,3.5,21.1,3.8,3.3,6.7,3.98,11.2,2.8,3.8,8.6,6.6,5.6,3.34,5.7,4.3,5.82,4.8,8.7,7.8,6.3,16.7,7.0,10.3,4.2,4.3
2017-10,5.37,5.7,6.7,6.3,6.96,9.38,9.63,2.7,5.4,5.6,8.8,8.0,8.2,9.1,4.82,3.5,21.1,3.9,3.2,6.6,4.09,11.1,2.7,3.7,8.5,6.8,5.4,3.42,5.5,4.0,5.76,4.7,8.6,7.7,6.0,16.7,7.0,10.3,4.3,4.2
2017-11,5.42,5.8,6.4,6.0,7.01,9.69,9.25,2.4,5.5,5.8,8.7,7.9,7.9,9.0,4.8,3.4,21.4,3.6,3.3,6.4,4.03,11.0,2.7,3.8,8.3,6.8,5.4,3.51,5.4,3.9,5.75,4.6,8.2,7.6,5.8,16.7,6.6,10.1,4.4,4.2
2017-12,5.61,6.0,6.2,5.9,7.22,9.38,9.0,2.3,5.3,6.0,8.7,7.9,9.0,9.0,4.74,3.4,21.2,3.8,3.3,6.3,4.06,10.9,2.7,3.6,8.1,6.8,5.6,3.41,5.4,4.5,5.68,4.4,8.1,7.5,5.7,16.6,6.8,9.9,4.3,4.1
2018-01,5.52,5.7,6.1,6.0,7.27,9.66,9.39,2.6,5.4,6.4,8.7,7.8,8.5,9.2,4.66,3.3,20.9,3.6,3.3,6.0,3.65,11.1,2.4,3.5,8.0,6.8,5.5,3.2,5.2,4.0,5.59,4.2,8.0,7.3,5.6,16.5,6.8,9.8,4.2,4.0
2018-02,5.57,5.2,6.1,5.9,7.34,9.72,10.23,2.3,4.6,6.3,8.6,7.7,8.4,9.3,4.67,3.3,21.3,3.6,3.1,5.9,3.85,10.8,2.5,3.7,7.8,6.7,5.6,3.15,5.1,4.0,5.58,4.0,7.8,7.1,5.6,16.3,5.9,10.0,4.2,4.1
2018-03,5.51,5.2,6.2,5.9,6.99,9.21,9.69,2.1,5.6,5.8,8.5,7.6,8.3,9.3,4.65,3.3,20.6,3.6,3.0,5.8,3.79,10.9,2.5,4.0,7.7,6.7,5.6,3.2,5.0,4.3,5.55,3.9,7.6,6.9,5.5,16.0,6.3,10.0,4.2,4.0
2018-04,5.53,5.2,6.5,5.9,7.14,8.96,9.29,2.3,5.1,5.1,8.4,7.6,7.7,9.2,4.64,3.3,20.1,3.7,3.0,5.9,3.97,11.0,2.5,3.8,7.7,6.2,5.5,3.45,4.9,4.2,5.54,3.8,7.3,6.8,5.4,15.7,6.6,10.2,4.2,4.0
2018-05,5.39,4.7,6.4,6.0,7.24,9.21,8.7,2.2,5.0,5.0,8.3,7.4,7.3,9.2,4.48,3.2,19.7,3.4,3.1,5.9,4.04,10.6,2.2,3.8,7.7,5.9,5.5,3.26,4.9,3.4,5.43,3.7,7.2,6.7,5.4,15.4,6.1,10.6,4.0,3.8
2018-06,5.33,5.1,6.2,6.1,7.48,9.02,8.8,2.3,5.3,5.0,8.2,7.4,7.0,9.1,4.58,3.2,19.5,3.4,3.2,5.8,3.95,10.8,2.4,3.5,7.5,6.1,5.5,3.33,4.9,4.2,5.48,3.8,7.0,6.6,5.3,15.1,6.6,10.7,4.0,4.0
2018-07,5.3,5.3,5.9,5.8,7.42,9.16,9.36,2.3,5.0,5.3,8.1,7.3,7.2,8.9,4.48,3.2,19.2,3.8,3.3,5.7,4.14,10.4,2.5,3.8,7.3,5.9,5.6,3.27,4.9,4.2,5.42,3.9,6.9,6.4,5.2,14.9,6.6,10.8,4.0,3.8
2018-08,5.29,5.5,5.6,6.0,7.26,9.19,10.18,2.4,5.0,5.4,8.0,7.2,7.4,8.9,4.45,3.2,19.3,3.6,3.3,5.7,3.94,10.1,2.5,4.5,7.1,6.0,5.7,3.19,4.9,4.1,5.45,3.9,7.1,6.3,5.1,14.8,6.5,11.2,4.1,3.8
2018-09,5.03,5.4,5.6,5.9,7.37,9.68,10.47,2.2,4.7,5.7,8.0,7.2,7.0,8.8,4.41,3.2,19.1,3.6,3.2,5.7,4.13,10.3,2.3,4.1,7.0,6.0,5.6,3.28,4.8,4.4,5.43,3.9,6.7,6.2,4.9,14.7,6.7,11.5,4.1,3.7
2018-10,5.01,5.3,5.8,5.9,7.59,9.98,11.73,2.1,5.0,5.3,8.0,7.2,7.2,8.8,4.46,3.1,19.0,3.6,3.3,5.8,4.03,10.7,2.4,4.0,7.1,6.1,5.5,3.14,4.7,4.0,5.47,3.9,6.8,6.1,4.6,14.7,6.6,11.6,4.0,3.8
2018-11,5.11,4.8,5.9,5.7,7.68,9.95,11.96,1.9,5.1,4.7,8.0,7.2,7.1,8.8,4.43,3.1,19.3,3.4,3.2,5.7,4.0,10.6,2.5,3.9,7.0,5.9,5.4,3.33,4.6,3.7,5.48,3.9,6.8,6.0,4.4,14.6,6.7,12.2,4.0,3.8
2018-12,5.02,5.3,5.9,5.8,7.52,10.54,12.42,2.2,5.7,4.4,7.9,7.1,5.9,8.8,4.46,3.1,19.1,3.6,3.2,5.5,4.25,10.2,2.5,3.8,6.9,6.0,5.3,3.64,4.6,3.7,5.57,3.9,6.8,5.9,4.4,14.5,6.8,12.7,3.9,3.9
2019-01,5.06,4.9,5.8,5.9,7.28,10.45,11.72,2.1,5.1,4.3,7.9,7.1,6.7,8.8,4.51,3.1,19.4,3.4,3.2,5.0,4.2,10.4,2.5,4.1,6.8,6.2,5.3,3.38,4.6,4.0,5.6,3.9,6.8,5.8,4.5,14.3,6.4,13.6,3.9,4.0
2019-02,4.97,5.1,5.7,5.9,7.21,10.58,11.29,1.7,5.1,4.4,7.9,7.1,7.0,8.7,4.37,3.0,19.3,3.3,3.2,4.9,4.04,10.5,2.4,3.8,6.6,6.2,5.5,3.28,4.4,4.3,5.51,3.8,6.7,5.8,4.6,14.2,7.0,13.8,3.8,3.8
2019-03,5.08,5.0,5.6,5.8,7.09,10.55,11.28,2.1,5.3,4.4,7.7,7.0,6.5,8.7,4.38,3.0,18.9,3.3,3.3,4.9,3.88,10.1,2.5,3.8,6.5,6.1,5.6,3.54,4.4,3.7,5.54,3.7,6.7,5.7,4.5,14.2,7.5,13.9,3.8,3.8
2019-04,5.21,5.0,5.6,5.8,6.99,9.66,11.29,2.1,5.3,4.7,7.7,6.9,7.2,8.5,4.29,3.0,18.2,3.3,3.5,5.1,3.93,10.3,2.4,4.0,6.3,6.0,5.6,3.58,4.3,3.2,5.44,3.4,6.7,5.7,4.3,14.2,6.6,13.8,3.8,3.6
2019-05,5.21,4.9,5.6,5.4,6.99,9.98,11.91,2.1,4.8,4.9,7.7,6.8,6.8,8.5,4.24,2.9,17.6,3.4,3.6,5.2,3.65,10.0,2.3,3.8,6.3,6.0,5.6,3.58,4.3,3.4,5.4,3.3,6.7,5.7,4.3,14.2,6.7,13.7,3.9,3.7
2019-06,5.26,4.6,5.5,5.5,7.17,9.27,11.53,1.8,4.5,4.7,7.5,6.7,6.2,8.5,4.2,2.9,17.4,3.2,3.8,5.2,4.02,9.6,2.3,3.8,6.3,6.0,5.7,3.54,4.4,3.8,5.34,3.3,6.6,5.7,4.5,14.2,6.5,13.7,3.8,3.6
2019-07,5.29,4.8,5.3,5.8,7.27,10.24,11.33,2.1,4.6,4.4,7.5,6.7,6.5,8.3,4.22,2.9,17.5,3.4,4.0,5.1,3.65,9.6,2.3,4.0,6.3,6.2,5.7,3.52,4.4,3.9,5.4,3.2,6.6,5.7,4.8,14.1,7.3,13.9,3.9,3.7
2019-08,5.28,5.0,5.2,5.8,7.14,10.87,11.38,2.1,4.9,4.2,7.4,6.7,7.0,8.2,4.18,2.9,17.4,3.3,4.2,5.0,3.59,9.4,2.3,3.5,6.2,6.4,5.8,3.44,4.5,4.4,5.38,3.2,6.4,5.7,4.9,14.1,7.3,14.0,3.8,3.7
2019-09,5.21,4.6,5.2,5.6,7.11,10.82,12.19,2.0,5.1,4.4,7.5,6.7,6.6,8.1,4.14,2.9,17.4,3.4,4.3,4.9,3.53,9.8,2.4,3.6,6.0,6.4,5.5,3.5,4.5,3.6,5.35,3.1,6.6,5.8,4.7,14.0,6.9,14.1,3.8,3.5
2019-10,5.3,5.0,5.3,5.7,7.23,10.8,12.55,2.2,5.0,4.2,7.5,6.7,6.9,8.2,4.2,3.0,17.2,3.4,4.3,4.8,3.5,9.5,2.4,3.6,5.8,6.4,5.6,3.56,4.5,4.4,5.37,3.1,6.6,5.7,4.3,14.0,7.0,13.5,3.8,3.6
2019-11,5.16,4.1,5.4,6.0,7.58,10.63,12.47,2.2,5.2,4.3,7.5,6.7,6.9,8.2,4.21,3.1,17.1,3.5,4.3,4.8,3.96,9.8,2.3,3.7,5.9,6.6,5.7,3.52,4.5,3.8,5.37,3.0,6.7,5.7,4.0,13.9,7.7,13.3,3.8,3.6
2019-12,5.06,4.7,5.4,5.8,7.85,10.55,12.39,1.9,5.1,4.7,7.5,6.7,6.6,8.2,4.19,3.1,17.0,3.0,4.5,4.8,3.63,9.7,2.2,3.7,6.5,6.8,5.7,3.19,4.3,4.0,5.31,3.0,6.8,5.8,3.9,13.9,6.9,13.4,3.9,3.6
2020-01,5.28,4.3,5.2,5.6,8.08,10.74,12.31,2.0,4.7,5.0,7.5,6.7,6.8,8.2,4.2,3.2,16.6,3.5,4.7,4.8,3.71,9.6,2.4,3.8,7.1,7.1,5.8,3.63,4.1,4.1,5.36,2.9,6.8,5.9,4.1,13.9,7.4,13.1,4.0,3.5
2020-02,5.08,4.6,5.1,5.7,8.19,11.22,12.55,1.8,5.2,5.0,7.4,6.6,6.7,7.8,4.16,3.3,16.4,3.5,5.0,4.8,3.35,9.6,2.4,3.3,7.2,7.4,5.8,3.54,4.0,3.6,5.28,2.9,6.6,6.0,4.2,13.7,7.9,12.6,4.0,3.5
2020-03,5.2,4.9,5.1,7.9,9.03,12.39,15.71,1.8,4.9,5.2,7.2,6.5,6.8,7.5,4.56,3.4,16.9,3.3,5.3,4.9,3.48,7.8,2.5,3.7,7.6,7.7,6.5,3.25,4.1,3.6,5.59,2.9,6.4,6.0,4.5,14.5,6.8,12.9,4.1,4.4
2020-04,6.32,6.1,5.2,13.0,10.91,18.31,20.02,2.2,4.3,5.9,7.4,6.8,7.2,7.5,9.14,3.5,18.3,3.9,5.6,4.7,3.64,7.5,2.6,3.8,8.3,8.3,7.3,4.88,4.5,4.1,8.8,3.1,6.5,6.6,5.2,15.3,8.1,13.5,4.1,14.7
2020-05,7.01,7.1,5.3,13.4,11.8,19.8,23.78,2.5,5.3,6.8,7.6,7.0,8.6,7.1,8.64,3.6,19.6,4.9,5.9,5.0,4.13,8.7,2.8,4.2,8.6,8.6,7.5,4.31,4.6,4.8,8.64,3.2,6.0,6.7,5.4,15.4,8.5,13.4,4.1,13.2
2020-06,7.43,7.9,5.7,12.2,12.48,19.16,24.17,2.6,6.8,7.9,8.1,7.4,7.6,7.5,7.79,3.7,20.3,4.9,6.1,5.7,4.72,9.6,2.8,4.2,8.7,8.9,7.5,5.51,5.4,4.9,8.3,3.4,7.5,6.7,5.4,15.9,9.2,13.5,4.3,11.0
2020-07,7.54,6.7,6.2,10.9,12.4,18.96,22.94,3.0,6.5,7.8,8.4,7.7,8.2,8.5,7.55,3.8,17.3,4.4,6.2,6.8,4.81,10.1,2.9,4.2,8.7,9.0,7.1,5.12,5.5,5.9,8.16,3.5,7.9,6.9,5.2,16.2,9.5,14.2,4.6,10.2
2020-08,6.83,6.3,6.6,10.3,12.01,16.82,21.81,2.8,6.2,7.9,8.6,7.8,8.8,8.9,6.85,3.9,17.0,4.1,6.4,7.3,4.85,9.9,3.0,3.6,8.6,9.3,6.7,4.92,5.5,5.4,7.56,3.4,8.1,6.9,5.2,16.4,9.3,12.8,4.9,8.4
2020-09,6.92,6.4,6.5,9.2,11.53,16.19,21.78,2.8,6.0,7.9,8.6,7.7,8.1,8.9,6.58,3.9,17.0,4.3,6.5,7.4,4.51,10.0,3.0,4.1,8.3,9.5,6.6,4.79,5.4,5.2,7.38,3.4,7.9,6.9,5.0,16.4,9.1,12.7,5.1,7.9
2020-10,6.97,6.2,6.0,9.2,11.17,16.14,21.3,3.2,5.9,8.0,8.4,7.6,8.3,8.3,6.15,3.9,17.6,4.1,6.7,6.4,4.53,10.0,3.1,4.3,8.1,9.1,6.4,4.58,5.3,5.6,7.12,3.3,7.6,6.9,5.0,16.3,8.8,13.1,5.1,6.9
2020-11,6.82,5.8,5.9,8.7,11.03,15.26,20.04,3.0,5.8,7.8,8.2,7.4,8.0,8.1,5.97,3.9,17.5,4.2,6.8,6.2,4.76,9.5,2.9,4.2,8.0,8.9,6.4,4.52,5.0,5.1,6.94,3.3,7.2,6.9,5.2,16.3,8.6,13.0,5.2,6.7
2020-12,6.58,6.8,6.1,8.9,10.79,14.74,19.17,3.0,5.9,7.2,8.2,7.5,8.2,8.0,6.01,3.9,16.8,4.2,6.9,6.2,4.83,9.8,3.0,4.5,7.8,8.6,6.4,4.18,4.9,4.7,6.91,3.4,7.0,7.0,5.3,16.3,9.2,12.8,5.1,6.7
2021-01,6.36,7.6,6.6,9.4,10.67,14.9,18.6,3.3,6.1,7.1,8.3,7.5,8.4,8.0,5.88,3.9,16.4,4.5,6.9,6.8,4.63,10.2,3.0,5.2,7.7,7.9,6.4,4.47,4.7,5.2,6.86,3.5,7.0,7.1,5.5,15.8,8.9,12.6,5.1,6.3
2021-02,5.8,7.0,6.8,8.3,10.36,14.53,18.77,3.2,6.0,6.7,8.2,7.5,8.1,8.2,5.78,3.9,15.9,4.4,6.8,7.2,5.14,10.2,2.9,3.9,7.7,7.5,6.3,4.38,4.7,5.4,6.74,3.7,6.9,7.1,5.4,15.7,9.1,13.2,4.9,6.2
2021-03,5.61,6.5,6.7,7.5,10.27,14.67,17.33,3.3,6.3,6.5,8.2,7.5,7.7,8.2,5.61,3.9,17.1,4.1,6.8,7.6,5.51,10.1,2.7,3.8,7.7,7.4,6.1,4.31,4.6,4.4,6.61,3.8,6.7,7.2,5.1,15.4,9.5,12.8,4.9,6.1
2021-04,5.41,7.3,6.4,8.0,9.76,14.62,17.7,3.3,5.1,6.4,8.2,7.5,8.6,8.2,5.66,3.8,17.2,4.1,6.6,7.6,5.39,10.2,2.8,3.7,7.8,7.5,5.8,4.88,4.5,5.1,6.7,3.7,7.0,7.1,4.8,15.5,9.0,13.5,4.9,6.1
2021-05,5.06,6.8,6.2,8.0,9.16,14.49,18.0,3.1,5.1,6.7,8.1,7.3,8.2,8.1,5.49,3.7,15.6,4.3,6.2,7.0,5.4,9.8,2.9,3.7,7.9,7.6,5.6,4.12,4.4,5.5,6.48,3.6,7.0,7.0,4.5,15.5,9.0,13.0,4.7,5.8
2021-06,4.97,6.2,6.2,7.6,8.51,14.52,17.41,2.8,4.8,6.5,7.9,7.2,7.6,8.0,5.47,3.6,14.9,4.2,5.8,6.4,5.31,9.4,2.9,3.6,7.9,7.4,5.3,4.0,4.2,4.4,6.3,3.5,6.8,6.9,4.4,15.4,9.4,10.9,4.6,5.9
2021-07,4.7,6.1,6.3,7.4,8.21,12.56,16.38,2.7,4.2,6.4,7.7,6.9,7.6,7.9,5.17,3.5,14.3,4.1,5.4,5.9,4.97,9.2,2.8,3.3,7.7,7.0,5.2,4.17,4.1,5.0,6.03,3.3,6.6,6.8,4.4,15.0,8.5,11.5,4.4,5.4
2021-08,4.57,5.9,6.3,7.1,8.18,13.17,15.31,2.8,5.1,6.1,7.5,6.8,7.0,7.8,5.02,3.4,13.6,4.1,5.1,5.5,4.95,9.1,2.8,3.1,7.3,6.7,5.1,4.0,4.2,4.1,5.92,3.1,6.3,6.7,4.5,14.6,8.9,11.9,4.3,5.2
2021-09,4.66,4.9,6.2,7.0,8.04,12.63,15.02,2.6,4.9,5.9,7.3,6.7,7.5,7.7,4.82,3.4,13.2,3.5,4.8,5.3,4.95,9.0,2.8,3.1,7.1,6.5,5.0,3.89,4.1,3.7,5.73,3.1,6.3,6.6,4.6,14.2,8.8,11.4,4.2,4.8
2021-10,5.24,5.9,6.0,6.8,7.81,13.48,14.41,2.5,4.8,5.3,7.3,6.6,6.7,7.5,4.68,3.3,13.4,4.0,4.6,5.3,4.78,9.2,2.7,3.2,7.1,6.8,4.8,3.8,3.9,3.7,5.65,3.1,6.3,6.6,4.7,13.8,8.3,11.2,4.1,4.5
2021-11,4.59,5.1,5.8,6.1,7.71,13.45,13.68,2.2,4.1,5.4,7.1,6.5,6.8,7.5,4.5,3.3,13.1,3.8,4.5,5.2,4.29,9.0,2.8,3.2,7.3,6.7,4.7,3.78,3.7,3.8,5.49,3.0,6.2,6.5,4.7,13.4,8.3,11.2,4.0,4.2
2021-12,4.17,4.8,5.6,6.0,7.67,12.53,13.08,2.2,4.6,5.5,7.0,6.4,7.2,7.4,4.32,3.2,12.9,3.6,4.4,5.0,4.07,8.8,2.7,3.8,7.3,6.6,4.7,3.86,3.8,3.2,5.35,2.9,5.9,6.5,4.4,13.3,8.0,11.2,4.0,3.9
2022-01,4.18,4.7,5.3,6.5,7.75,12.42,13.26,2.3,4.9,5.7,6.9,6.3,7.1,7.3,4.37,3.2,13.7,3.8,4.3,4.9,3.83,8.7,2.8,3.6,7.1,6.5,4.5,3.51,3.6,3.3,5.34,2.8,5.9,6.5,4.1,13.3,8.0,11.2,3.8,4.0
2022-02,4.01,4.8,5.2,5.5,7.77,12.03,13.57,2.5,4.4,5.3,6.9,6.2,6.5,7.3,4.21,3.1,13.1,3.6,4.2,4.6,3.86,8.5,2.7,2.7,6.9,6.2,4.5,3.69,3.4,3.5,5.17,2.8,5.8,6.4,4.0,13.3,7.4,10.7,3.7,3.8
2022-03,3.92,4.3,5.4,5.3,7.74,12.12,13.28,2.3,3.9,5.4,6.8,6.2,6.5,7.4,4.08,3.0,12.7,3.2,4.1,4.9,3.81,8.3,2.6,2.7,6.8,6.1,4.4,3.31,3.3,3.1,5.07,2.8,5.9,6.3,4.1,13.2,7.6,11.0,3.8,3.6
2022-04,3.87,4.4,5.7,5.2,7.57,10.66,11.99,2.5,4.1,5.4,6.7,6.1,6.3,7.5,4.07,3.0,12.7,3.4,4.0,4.6,3.5,8.2,2.5,2.7,6.6,5.4,4.3,3.17,3.2,2.6,4.98,2.8,5.9,6.3,4.4,12.9,7.7,11.0,3.8,3.6
2022-05,3.91,4.7,5.9,5.1,7.54,10.25,11.68,2.4,4.2,5.8,6.7,6.1,6.1,7.6,4.08,3.0,12.7,3.6,3.9,4.2,3.7,8.1,2.6,2.8,6.5,5.4,4.3,3.36,3.3,3.8,4.98,2.8,5.9,6.2,4.5,12.6,7.7,10.7,3.8,3.6
2022-06,3.57,4.2,5.8,4.9,7.55,11.2,11.85,2.4,4.3,5.9,6.7,6.1,6.9,7.6,4.03,3.0,12.4,3.1,4.0,4.2,3.36,8.0,2.6,2.9,6.6,5.4,4.3,3.32,3.4,3.0,4.95,2.9,5.9,6.1,4.4,12.6,7.6,10.4,3.6,3.6
2022-07,3.45,4.6,5.5,4.9,7.63,10.62,11.85,2.4,4.7,6.0,6.6,6.1,7.1,7.3,3.93,3.0,12.3,3.6,4.0,4.3,3.46,8.0,2.6,2.9,6.9,5.8,4.3,3.26,3.6,2.8,4.86,2.9,5.9,6.1,4.1,12.6,7.0,10.1,3.5,3.5
2022-08,3.5,5.2,5.4,5.4,7.83,10.91,11.98,2.4,4.5,5.8,6.7,6.1,7.2,7.2,4.02,3.0,12.3,3.6,4.0,4.4,3.49,8.0,2.5,2.5,7.0,5.9,4.4,3.25,3.8,3.6,4.9,3.0,6.0,6.0,4.0,12.7,7.0,9.8,3.6,3.7
2022-09,3.56,5.1,5.4,5.2,7.95,11.35,11.47,2.3,4.6,5.4,6.6,6.1,7.2,7.1,3.96,3.0,12.0,3.7,4.0,4.4,3.75,7.9,2.6,2.8,7.1,6.0,4.5,3.09,3.8,3.4,4.9,3.0,6.1,6.0,4.0,12.7,7.1,10.1,3.7,3.5
2022-10,3.41,4.6,5.4,5.2,8.25,10.92,11.61,2.2,4.5,5.5,6.5,6.0,6.4,7.1,4.02,3.0,11.5,3.6,4.0,4.5,4.04,7.9,2.6,2.8,7.1,6.1,4.6,3.17,3.7,3.2,4.92,3.0,6.0,5.9,4.1,12.5,7.7,10.2,,3.7
2022-11,3.45,5.6,5.5,5.1,,11.07,,2.7,4.7,5.5,6.5,6.0,6.7,7.0,3.98,3.0,11.4,4.1,4.1,4.4,3.87,7.8,2.5,2.9,7.2,5.9,4.6,2.94,3.6,3.1,4.89,3.0,6.4,5.9,4.2,12.4,7.2,,,3.6
2022-12,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
